保单文件名, 产品类型, 产品名称, 产品交费方式, 产品条款文字编码
{'file_name': '00353177-ff8c-426a-b3fe-d674dc94f45f_TERMS'}, {'product_category': '乐健宝重大疾病保险条款'}, {'product_name': '国寿附加乐健宝重大疾病保险条款'}, {'product_payment': '分期交付保险费'}, {'product_term': '无'}
{'file_name': '006035eb-3b19-4645-b635-8b916f48adb0_TERMS'}, {'product_category': '康祥重大疾病保险条款'}, {'product_name': '君龙康祥重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '君龙人寿[2009]疾病保险030号'}
{'file_name': '00635f2e-e9fb-44e2-9008-7046c46c0ed5_TERMS'}, {'product_category': '安泰重大疾病保险条款'}, {'product_name': '安泰重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '英大人寿[2017]疾病保险025号'}
{'file_name': '00890aa6-8a25-452c-adf1-76ead68be76e_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '公司北京人寿京康葆终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '北京人寿[2018]疾病保险003号'}
{'file_name': '00cf96a6-c1ee-4186-820d-d6adb35e1522_TERMS'}, {'product_category': '保险费重大疾病保险'}, {'product_name': '平安附加豁免保险费重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2014]疾病保险012号'}
{'file_name': '00fa9c1e-d88d-4e3b-b1c3-0548c04f0d6f_TERMS'}, {'product_category': '满堂重大疾病保险'}, {'product_name': '生命附加福满堂重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '生命人寿[2009]疾病保险134号'}
{'file_name': '01141e78-018b-479a-bdfb-bae96c3871ef_TERMS'}, {'product_category': '终身重大疾病保险条款'}, {'product_name': '验证条款百万康泰终身重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '华泰人寿[2014]疾病保险015号'}
{'file_name': '012c8863-f332-465f-aa5d-4ea04e75a5f8_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '平安附加平安福提前给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2015]疾病保险005号'}
{'file_name': '01425664-3330-4104-b797-2910e04c5e80_TERMS'}, {'product_category': '给付重大疾病保险条款'}, {'product_name': '百年附加永康额外给付重大疾病保险条款'}, {'product_payment': '分期支付保险费'}, {'product_term': '无'}
{'file_name': '018d0dd7-b672-4e18-823f-a1a1eb205d9c_TERMS'}, {'product_category': '福惠康鑫重大疾病保险条款'}, {'product_name': '恒安标准附加福惠康鑫重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '标准司字[2014]263号'}
{'file_name': '01f70343-6bd0-4ced-b632-b5ef49c5312d_TERMS'}, {'product_category': '给付重大疾病保险'}, {'product_name': '提前给付重大疾病保险'}, {'product_payment': '分期支付保险费'}, {'product_term': '平安人寿[2017]疾病保险111号'}
{'file_name': '021b2096-63af-49cb-9bc7-0a49fcd79fed_TERMS'}, {'product_category': '人生重大疾病保险条款'}, {'product_name': '条款人保寿险无忧人生重大疾病保险条款'}, {'product_payment': '分期交纳保险费'}, {'product_term': '人保寿险[2017]疾病保险001号'}
{'file_name': '025cf15a-37ca-4b56-b8e4-2d3cf2e38a43_TERMS'}, {'product_category': '保费重大疾病保险条款'}, {'product_name': '民生附加投保人豁免保费重大疾病保险条款'}, {'product_payment': '无'}, {'product_term': '民生保险[2015]疾病保险031号'}
